word1,word2,similarity_out_of_7,similarity
chocolate,squirrel,1,0.0
shore,small,1,0.0
basket,dinner,1,0.0
cliff,scenery,5,6.666666666666667
posted,quote,4,5.0
dessert,wine,4,5.0
feel,idea,1,0.0
sunny,winter,3,3.3333333333333335
eat,meat,5,6.666666666666667
fungi,pattern,1,0.0
lamb,sheep,6,8.333333333333334
bedroom,floor,5,6.666666666666667
stand,tears,1,0.0
nest,reptiles,3,3.3333333333333335
clock,pink,1,0.0
ocean,sea,7,10.0
bloom,lily,6,8.333333333333334
sunk,time,1,0.0
road,traffic,6,8.333333333333334
dinner,morning,2,1.6666666666666667
stripes,violet,2,1.6666666666666667
rain,storm,6,8.333333333333334
misty,sky,2,1.6666666666666667
bright,grey,3,3.3333333333333335
iron,steel,6,8.333333333333334
brown,grey,6,8.333333333333334
berry,dessert,5,6.666666666666667
beauty,peacock,3,3.3333333333333335
sailing,shore,5,6.666666666666667
brown,insects,2,1.6666666666666667
blue,poster,1,0.0
coast,sunk,3,3.3333333333333335
rice,yellow,3,3.3333333333333335
bedroom,stairs,3,3.3333333333333335
rail,station,6,8.333333333333334
morning,sunrise,5,6.666666666666667
males,old,2,1.6666666666666667
frost,snow,6,8.333333333333334
happy,love,4,5.0
bloom,pink,5,6.666666666666667
interior,toys,1,0.0
dusk,hummingbird,1,0.0
object,scooter,3,3.3333333333333335
stream,waterfall,6,8.333333333333334
dawn,sunshine,1,0.0
bus,tram,6,8.333333333333334
branch,feline,1,0.0
creatures,grey,2,1.6666666666666667
dude,posted,1,0.0
mill,wild,2,1.6666666666666667
guitar,music,6,8.333333333333334
chapel,church,6,8.333333333333334
art,craft,3,3.3333333333333335
beef,cooking,6,8.333333333333334
costumes,ocean,3,3.3333333333333335
feet,tall,6,8.333333333333334
bay,chipmunk,1,0.0
white,yellow,6,8.333333333333334
female,race,1,0.0
square,town,5,6.666666666666667
lake,water,6,8.333333333333334
cat,whiskers,1,0.0
lily,purple,6,8.333333333333334
punk,toes,1,0.0
feline,kitty,6,8.333333333333334
coast,zebra,1,0.0
born,mother,5,6.666666666666667
cute,smile,4,5.0
brown,violet,6,8.333333333333334
pink,purple,6,8.333333333333334
coins,gold,4,5.0
fun,kids,3,3.3333333333333335
feel,tears,4,5.0
desk,sitting,4,5.0
photography,portrait,4,5.0
bride,wedding,2,1.6666666666666667
metro,railway,6,8.333333333333334
collection,work,2,1.6666666666666667
cattle,goats,5,6.666666666666667
band,piano,5,6.666666666666667
canyon,mountain,5,6.666666666666667
dude,sitting,2,1.6666666666666667
abandoned,button,1,0.0
feet,train,1,0.0
garden,kitchen,3,3.3333333333333335
foliage,frost,2,1.6666666666666667
downtown,street,5,6.666666666666667
rail,railway,7,10.0
road,sidewalk,6,8.333333333333334
festival,musicians,6,8.333333333333334
kittens,lingerie,1,0.0
happy,kiss,4,5.0
brown,pelican,3,3.3333333333333335
butterfly,dragonfly,5,6.666666666666667
feathers,goose,6,8.333333333333334
pub,snowman,1,0.0
dirty,fun,3,3.3333333333333335
camera,theatre,3,3.3333333333333335
scenery,sunshine,5,6.666666666666667
club,signed,2,1.6666666666666667
belly,black,1,0.0
sitting,staircase,3,3.3333333333333335
bacon,pepper,5,6.666666666666667
misty,scenery,2,1.6666666666666667
apartment,bedroom,5,6.666666666666667
butterfly,stadium,1,0.0
cake,library,1,0.0
glittering,smile,2,1.6666666666666667
hummingbird,rodents,4,5.0
feel,stop,2,1.6666666666666667
escalator,stairs,6,8.333333333333334
iris,necklace,1,0.0
feel,kiss,3,3.3333333333333335
ceramic,ocean,1,0.0
purple,red,6,8.333333333333334
shore,tears,1,0.0
arch,wall,4,5.0
fun,game,5,6.666666666666667
canyon,river,5,6.666666666666667
blue,socks,3,3.3333333333333335
frost,wet,3,3.3333333333333335
canine,terrier,6,8.333333333333334
fun,guy,3,3.3333333333333335
cliff,harbour,5,6.666666666666667
aquarium,seagull,3,3.3333333333333335
truck,vehicle,6,8.333333333333334
house,stop,1,0.0
military,wasp,1,0.0
roof,tiles,6,8.333333333333334
bacon,eat,6,8.333333333333334
leg,stripes,3,3.3333333333333335
goose,mallard,6,8.333333333333334
locked,misty,1,0.0
cold,wet,5,6.666666666666667
ruins,shore,3,3.3333333333333335
scenery,sunny,4,5.0
cloud,sky,6,8.333333333333334
moon,sun,6,8.333333333333334
musicians,punk,6,8.333333333333334
potatoes,salad,5,6.666666666666667
fell,tears,4,5.0
chopper,window,2,1.6666666666666667
mud,water,5,6.666666666666667
bicycle,bike,7,10.0
pink,white,6,8.333333333333334
brick,rabbit,1,0.0
beard,sports,1,0.0
bikini,pizza,2,1.6666666666666667
match,played,5,6.666666666666667
day,sunny,4,5.0
marble,stone,6,8.333333333333334
flamingo,mallard,6,8.333333333333334
grey,shade,5,6.666666666666667
guy,stand,3,3.3333333333333335
eat,sweet,5,6.666666666666667
dripping,wet,5,6.666666666666667
arch,roof,4,5.0
hawk,nest,6,8.333333333333334
sunlight,sunshine,7,10.0
rock,track,2,1.6666666666666667
cute,dude,4,5.0
blue,violet,6,8.333333333333334
cold,ear,2,1.6666666666666667
dessert,pepper,4,5.0
coast,sea,6,8.333333333333334
born,daughter,3,3.3333333333333335
orange,peel,5,6.666666666666667
foliage,fruit,4,5.0
eat,web,1,0.0
food,wild,3,3.3333333333333335
colour,red,6,8.333333333333334
nails,rusty,2,1.6666666666666667
reptiles,swim,3,3.3333333333333335
demolition,skyline,3,3.3333333333333335
morning,sleep,3,3.3333333333333335
bag,wild,2,1.6666666666666667
clothes,hat,6,8.333333333333334
collar,tiger,1,0.0
birds,mammals,4,5.0
buds,daffodils,5,6.666666666666667
blonde,wig,5,6.666666666666667
stairs,wall,4,5.0
game,rocket,3,3.3333333333333335
black,grey,6,8.333333333333334
construction,skyscraper,6,8.333333333333334
seagull,urban,1,0.0
party,sailing,3,3.3333333333333335
stockings,tomato,1,0.0
crab,grave,1,0.0
bacon,tomato,5,6.666666666666667
nest,twigs,4,5.0
blossom,ivy,6,8.333333333333334
dessert,strawberry,6,8.333333333333334
man,muscle,4,5.0
outfit,signed,1,0.0
jellyfish,texture,1,0.0
ceiling,wall,6,8.333333333333334
brick,concrete,3,3.3333333333333335
concert,musicians,6,8.333333333333334
beetles,chocolate,1,0.0
miniature,painting,5,6.666666666666667
dirty,friends,1,0.0
club,match,4,5.0
kids,stop,2,1.6666666666666667
hanging,smile,1,0.0
stand,walk,5,6.666666666666667
morning,sunset,4,5.0
animals,pets,5,6.666666666666667
cherry,fruit,6,8.333333333333334
interior,skyscraper,2,1.6666666666666667
feline,whiskers,6,8.333333333333334
cold,sunny,3,3.3333333333333335
kittens,kitty,7,10.0
church,cookies,1,0.0
computer,railway,1,0.0
guy,sexy,1,0.0
cattle,web,1,0.0
foliage,yellow,3,3.3333333333333335
bench,boardwalk,4,5.0
hanging,stand,6,8.333333333333334
burger,frozen,2,1.6666666666666667
architecture,shade,1,0.0
dragonfly,pond,1,0.0
coffee,mug,3,3.3333333333333335
punk,rock,6,8.333333333333334
bloom,friends,1,0.0
cooking,rice,5,6.666666666666667
interior,outdoor,6,8.333333333333334
gull,mill,1,0.0
hill,horizon,5,6.666666666666667
jacket,skirt,5,6.666666666666667
clothes,skyline,1,0.0
club,hockey,5,6.666666666666667
origami,white,3,3.3333333333333335
door,interior,5,6.666666666666667
poppy,store,1,0.0
flying,sexy,1,0.0
ceiling,stairs,3,3.3333333333333335
dropped,fun,1,0.0
played,rail,1,0.0
female,old,3,3.3333333333333335
happy,home,1,0.0
dawn,sun,2,1.6666666666666667
eyes,smile,3,3.3333333333333335
relaxed,sunshine,3,3.3333333333333335
eggs,nest,6,8.333333333333334
jump,sunlight,1,0.0
colour,rainbow,5,6.666666666666667
petals,pink,5,6.666666666666667
object,piano,3,3.3333333333333335
scenery,valley,5,6.666666666666667
orange,violet,6,8.333333333333334
bedroom,staircase,4,5.0
bottle,wine,5,6.666666666666667
flowers,violet,6,8.333333333333334
buds,floor,6,8.333333333333334
jaguar,storm,1,0.0
action,truck,2,1.6666666666666667
breakfast,people,2,1.6666666666666667
bikini,lake,3,3.3333333333333335
decoration,twigs,3,3.3333333333333335
belly,dirty,1,0.0
orange,shop,1,0.0
amphibians,dragonfly,3,3.3333333333333335
cloud,misty,3,3.3333333333333335
meat,pond,1,0.0
eyes,iris,1,0.0
coast,sketch,1,0.0
outfit,punk,4,5.0
shopping,street,4,5.0
automobile,truck,6,8.333333333333334
door,kitchen,2,1.6666666666666667
day,horse,1,0.0
ruins,village,3,3.3333333333333335
bath,hot,6,8.333333333333334
puppy,terrier,1,0.0
flowers,weather,1,0.0
red,shade,4,5.0
craft,van,4,5.0
guy,gymnastics,4,5.0
splash,washing,5,6.666666666666667
misty,morning,1,0.0
friends,love,3,3.3333333333333335
makeup,old,4,5.0
floor,skyscraper,2,1.6666666666666667
purple,twigs,2,1.6666666666666667
patio,sleep,1,0.0
foliage,tree,6,8.333333333333334
mammals,written,1,0.0
duck,mallard,7,10.0
ball,square,3,3.3333333333333335
hanging,tears,2,1.6666666666666667
lion,pelican,5,6.666666666666667
buds,ivy,6,8.333333333333334
cocktail,dinner,4,5.0
berry,flying,1,0.0
daisy,gravestone,2,1.6666666666666667
castle,patio,4,5.0
red,white,6,8.333333333333334
flying,keyboard,1,0.0
daisy,grass,7,10.0
evening,sleep,4,5.0
painted,puddle,1,0.0
museum,scratch,1,0.0
horse,sweet,2,1.6666666666666667
washing,web,1,0.0
art,painting,5,6.666666666666667
skin,television,1,0.0
rain,weather,5,6.666666666666667
blossom,daisy,5,6.666666666666667
carrots,soup,5,6.666666666666667
violet,white,6,8.333333333333334
shore,valley,3,3.3333333333333335
bright,glittering,7,10.0
bedroom,diner,4,5.0
cathedral,ruins,4,5.0
guy,walk,3,3.3333333333333335
cactus,gasoline,1,0.0
mist,rain,1,0.0
river,waterfall,6,8.333333333333334
shade,white,5,6.666666666666667
black,pencil,3,3.3333333333333335
desert,scenery,4,5.0
bright,yellow,4,5.0
protest,tiles,1,0.0
dawn,morning,1,0.0
circle,wig,3,3.3333333333333335
map,weed,1,0.0
dark,orange,4,5.0
military,tomato,1,0.0
building,interior,4,5.0
leaf,nature,4,5.0
pelican,toes,1,0.0
friends,smile,3,3.3333333333333335
canine,husky,6,8.333333333333334
brick,skyline,2,1.6666666666666667
cafe,street,4,5.0
camera,rally,2,1.6666666666666667
baseball,played,5,6.666666666666667
night,sunset,4,5.0
station,train,6,8.333333333333334
craft,game,2,1.6666666666666667
feathers,truck,1,0.0
dirty,washing,5,6.666666666666667
restaurant,room,2,1.6666666666666667
button,flowers,1,0.0
can,mill,1,0.0
abstract,feel,2,1.6666666666666667
farm,wind,3,3.3333333333333335
friends,fun,5,6.666666666666667
foliage,lily,6,8.333333333333334
berry,bright,1,0.0
coins,tickets,3,3.3333333333333335
chocolate,dessert,6,8.333333333333334
bacon,wild,1,0.0
bathroom,bed,3,3.3333333333333335
berry,seed,3,3.3333333333333335
building,tall,4,5.0
abstract,frog,1,0.0
idea,people,2,1.6666666666666667
grass,skull,1,0.0
glittering,sunlight,6,8.333333333333334
autumn,summer,6,8.333333333333334
gold,silver,6,8.333333333333334
coast,downtown,2,1.6666666666666667
bloom,flowers,7,10.0
beauty,orchids,3,3.3333333333333335
air,knitting,1,0.0
tall,tower,6,8.333333333333334
eyes,lips,5,6.666666666666667
beef,deer,4,5.0
grapes,rainbow,1,0.0
blue,skirt,3,3.3333333333333335
cute,guy,2,1.6666666666666667
game,played,6,8.333333333333334
bar,cocktail,6,8.333333333333334
match,stadium,5,6.666666666666667
stairs,steel,2,1.6666666666666667
ceramic,colour,2,1.6666666666666667
crow,hawk,6,8.333333333333334
country,elephant,1,0.0
hat,peel,1,0.0
blue,hand,1,0.0
breakfast,dinner,5,6.666666666666667
downtown,sidewalk,2,1.6666666666666667
dragonfly,frog,4,5.0
light,shade,5,6.666666666666667
dinner,relaxed,3,3.3333333333333335
ancient,poster,1,0.0
buds,foliage,6,8.333333333333334
burn,flame,6,8.333333333333334
poster,tank,1,0.0
dessert,orange,3,3.3333333333333335
blonde,redhead,6,8.333333333333334
hawk,insects,4,5.0
track,vinyl,1,0.0
clothes,jean,4,5.0
mural,painting,6,8.333333333333334
book,ceramic,1,0.0
desk,white,3,3.3333333333333335
friends,left,1,0.0
black,blue,6,8.333333333333334
skyline,tower,6,8.333333333333334
smoking,sunny,1,0.0
duck,outfit,1,0.0
harbour,sunk,3,3.3333333333333335
licking,paws,1,0.0
bloom,petals,6,8.333333333333334
ice,skating,6,8.333333333333334
burger,soup,4,5.0
hotel,sand,1,0.0
diner,restaurant,6,8.333333333333334
building,skyline,5,6.666666666666667
chicken,knitting,1,0.0
city,skyline,6,8.333333333333334
beach,scenery,4,5.0
beach,harbour,5,6.666666666666667
fishing,rainbow,1,0.0
small,valley,2,1.6666666666666667
stripes,urban,1,0.0
flag,quote,1,0.0
potatoes,rice,3,3.3333333333333335
iron,splash,1,0.0
blossom,purple,4,5.0
bay,cliff,6,8.333333333333334
buds,fruit,4,5.0
black,seat,1,0.0
ceiling,staircase,3,3.3333333333333335
food,noodles,6,8.333333333333334
feel,smile,3,3.3333333333333335
brown,hummingbird,1,0.0
night,sunshine,3,3.3333333333333335
puddle,water,6,8.333333333333334
bedroom,feline,1,0.0
socks,white,1,0.0
feline,nuts,1,0.0
beef,cattle,6,8.333333333333334
alley,punk,1,0.0
happy,sitting,1,0.0
guy,sitting,3,3.3333333333333335
air,dew,3,3.3333333333333335
ad,track,1,0.0
guitar,piano,5,6.666666666666667
desert,roof,1,0.0
lighting,person,1,0.0
bacon,sweet,2,1.6666666666666667
daisy,plant,6,8.333333333333334
amphibians,pelican,4,5.0
evening,friends,3,3.3333333333333335
couple,old,2,1.6666666666666667
collage,illustrations,5,6.666666666666667
beach,holiday,5,6.666666666666667
diamond,parade,1,0.0
cat,purple,1,0.0
fungi,plant,3,3.3333333333333335
cooking,eat,6,8.333333333333334
redhead,rusty,1,0.0
hawk,mallard,1,0.0
flamingo,hummingbird,6,8.333333333333334
bed,patio,4,5.0
happy,night,2,1.6666666666666667
chess,family,1,0.0
station,subway,5,6.666666666666667
line,metro,5,6.666666666666667
buds,twigs,6,8.333333333333334
bread,eat,6,8.333333333333334
cliff,fence,5,6.666666666666667
computer,farm,1,0.0
crane,wild,1,0.0
cooking,dessert,5,6.666666666666667
bread,sandwich,6,8.333333333333334
jump,salad,1,0.0
smile,stand,1,0.0
daughter,son,6,8.333333333333334
graphic,roof,1,0.0
sky,sunlight,6,8.333333333333334
beef,chicken,5,6.666666666666667
colorful,duck,1,0.0
bikini,ivy,1,0.0
animals,wild,5,6.666666666666667
engine,gasoline,5,6.666666666666667
cliff,waterfall,4,5.0
poodle,terrier,6,8.333333333333334
fish,fishing,7,10.0
dark,yellow,5,6.666666666666667
building,downtown,5,6.666666666666667
camel,outdoor,2,1.6666666666666667
bloom,tulip,6,8.333333333333334
sitting,time,3,3.3333333333333335
mist,misty,7,10.0
cemetery,graveyard,7,10.0
feathers,insects,5,6.666666666666667
dessert,rice,4,5.0
boardwalk,trail,6,8.333333333333334
food,fruit,6,8.333333333333334
feathers,mallard,1,0.0
bus,subway,4,5.0
paper,vine,1,0.0
reptiles,wild,6,8.333333333333334
dinner,lunch,6,8.333333333333334
mountain,valley,6,8.333333333333334
line,street,4,5.0
lab,spider,2,1.6666666666666667
cow,table,1,0.0
surfers,wave,6,8.333333333333334
field,red,1,0.0
coffee,lunch,5,6.666666666666667
idea,stop,1,0.0
bucket,duck,2,1.6666666666666667
advertisement,pond,1,0.0
dead,hanging,5,6.666666666666667
brown,orange,6,8.333333333333334
bedroom,ceiling,4,5.0
flowers,petals,6,8.333333333333334
berry,raspberry,7,10.0
licking,marble,1,0.0
cherry,strawberry,6,8.333333333333334
grapes,wine,6,8.333333333333334
rice,soup,5,6.666666666666667
interior,mushrooms,1,0.0
bridge,ceramic,1,0.0
costumes,dress,5,6.666666666666667
book,gold,1,0.0
photos,photography,7,10.0
dude,sexy,2,1.6666666666666667
game,husky,1,0.0
downtown,subway,5,6.666666666666667
breakfast,staircase,1,0.0
curled,licking,1,0.0
burger,dessert,4,5.0
eat,rabbit,3,3.3333333333333335
frost,lily,1,0.0
breakfast,sleep,4,5.0
green,number,1,0.0
bench,game,2,1.6666666666666667
gull,hummingbird,6,8.333333333333334
canal,number,1,0.0
amphibians,mammals,5,6.666666666666667
creatures,reading,1,0.0
breakfast,relaxed,2,1.6666666666666667
ipod,rope,1,0.0
lab,rusty,1,0.0
bathroom,porch,3,3.3333333333333335
man,transformers,2,1.6666666666666667
harbor,sea,6,8.333333333333334
scenery,shore,5,6.666666666666667
mallard,stork,1,0.0
kitchen,sleep,1,0.0
misty,snow,1,0.0
landscape,stadium,2,1.6666666666666667
patio,women,1,0.0
birds,owl,6,8.333333333333334
happy,sexy,5,6.666666666666667
canine,run,2,1.6666666666666667
shade,yellow,4,5.0
flight,flying,7,10.0
porch,room,4,5.0
cattle,sheep,6,8.333333333333334
jacket,shirt,6,8.333333333333334
giraffe,zebra,6,8.333333333333334
collage,sculpture,5,6.666666666666667
dirty,guy,2,1.6666666666666667
rabbit,sphere,1,0.0
highway,road,7,10.0
burger,mountain,1,0.0
cheetah,lion,6,8.333333333333334
ford,wall,4,5.0
pumpkin,valley,2,1.6666666666666667
animals,mural,1,0.0
architecture,yellow,3,3.3333333333333335
beads,necklace,6,8.333333333333334
happy,smile,6,8.333333333333334
animals,zoo,6,8.333333333333334
children,family,6,8.333333333333334
living,race,4,5.0
fruit,raspberry,6,8.333333333333334
canine,paws,3,3.3333333333333335
body,miniature,2,1.6666666666666667
canyon,piano,1,0.0
art,collage,5,6.666666666666667
gun,pizza,1,0.0
mist,sunny,2,1.6666666666666667
note,rally,1,0.0
cloud,sunny,5,6.666666666666667
oak,petals,5,6.666666666666667
frozen,soup,3,3.3333333333333335
auto,round,2,1.6666666666666667
aerial,clown,1,0.0
cocktail,written,1,0.0
house,staircase,4,5.0
morning,sunny,4,5.0
lips,smile,6,8.333333333333334
sitting,tears,1,0.0
rain,sun,5,6.666666666666667
bathroom,kitchen,5,6.666666666666667
bag,flag,1,0.0
bright,purple,4,5.0
daisy,violet,5,6.666666666666667
pelican,stork,6,8.333333333333334
grey,violet,6,8.333333333333334
downtown,highway,5,6.666666666666667
graffiti,interior,3,3.3333333333333335
airplane,airport,6,8.333333333333334
pepper,salad,5,6.666666666666667
painted,sculpture,5,6.666666666666667
raspberry,sweet,6,8.333333333333334
bakery,vehicle,1,0.0
meat,pepper,5,6.666666666666667
escalator,metro,6,8.333333333333334
face,glittering,2,1.6666666666666667
coast,valley,2,1.6666666666666667
gate,pebbles,1,0.0
cow,station,1,0.0
happy,licking,2,1.6666666666666667
gymnastics,port,1,0.0
hill,path,3,3.3333333333333335
origami,stadium,1,0.0
living,males,1,0.0
skate,vehicle,1,0.0
flowers,plant,5,6.666666666666667
machine,washing,5,6.666666666666667
mother,son,6,8.333333333333334
fun,happy,6,8.333333333333334
santa,table,2,1.6666666666666667
home,wet,2,1.6666666666666667
lamp,light,7,10.0
garden,house,6,8.333333333333334
camel,desert,6,8.333333333333334
concrete,school,1,0.0
diner,eat,6,8.333333333333334
abandoned,ruins,6,8.333333333333334
apple,orange,6,8.333333333333334
living,stitches,2,1.6666666666666667
goose,locomotives,2,1.6666666666666667
dew,engine,1,0.0
gull,mammals,5,6.666666666666667
curled,leaf,3,3.3333333333333335
guy,haircut,3,3.3333333333333335
chopper,poppy,1,0.0
day,sunset,3,3.3333333333333335
haircut,hanging,2,1.6666666666666667
day,held,1,0.0
oak,twigs,5,6.666666666666667
bay,parking,2,1.6666666666666667
ball,curled,6,8.333333333333334
birds,swan,6,8.333333333333334
cafe,donut,5,6.666666666666667
cone,windmill,1,0.0
cottage,outfit,1,0.0
breakfast,diner,3,3.3333333333333335
summer,sunshine,6,8.333333333333334
dripping,round,2,1.6666666666666667
grave,graveyard,7,10.0
bathroom,sitting,2,1.6666666666666667
orange,salad,5,6.666666666666667
breakfast,lunch,6,8.333333333333334
beetles,insects,6,8.333333333333334
mill,windmill,6,8.333333333333334
bar,female,2,1.6666666666666667
sweet,wine,3,3.3333333333333335
band,played,4,5.0
harbor,sunk,5,6.666666666666667
clothes,cute,3,3.3333333333333335
fire,flame,6,8.333333333333334
bus,crane,1,0.0
break,glittering,1,0.0
key,misty,1,0.0
chipmunk,wolf,5,6.666666666666667
dessert,noodles,4,5.0
canine,dog,6,8.333333333333334
airplane,flying,6,8.333333333333334
licking,origami,1,0.0
sun,sunrise,6,8.333333333333334
licking,stop,1,0.0
daughter,mother,6,8.333333333333334
hanging,stop,4,5.0
collar,garbage,1,0.0
dropped,hanging,2,1.6666666666666667
morning,stop,1,0.0
breakfast,room,3,3.3333333333333335
porch,scooter,1,0.0
salad,sandwich,5,6.666666666666667
city,mill,2,1.6666666666666667
harbour,ship,6,8.333333333333334
rodents,smile,1,0.0
line,lunch,1,0.0
bread,cliff,1,0.0
eat,shade,1,0.0
sitting,smile,1,0.0
dripping,rain,6,8.333333333333334
splash,water,6,8.333333333333334
parrot,wing,5,6.666666666666667
dessert,sandwich,4,5.0
light,sleep,1,0.0
hat,jacket,4,5.0
hand,palm,6,8.333333333333334
pepper,tomato,5,6.666666666666667
display,pond,1,0.0
carrots,fruit,5,6.666666666666667
subway,underground,6,8.333333333333334
kiss,smile,5,6.666666666666667
demolition,interior,1,0.0
market,orange,3,3.3333333333333335
monument,ruins,5,6.666666666666667
interior,wall,5,6.666666666666667
art,exhibition,5,6.666666666666667
hanging,morning,2,1.6666666666666667
port,ship,6,8.333333333333334
hand,stand,1,0.0
left,rusty,1,0.0
born,son,6,8.333333333333334
chapel,ruins,5,6.666666666666667
highway,traffic,6,8.333333333333334
cherry,sweet,6,8.333333333333334
weather,wet,5,6.666666666666667
guy,hanging,2,1.6666666666666667
chain,store,5,6.666666666666667
gasoline,town,2,1.6666666666666667
air,carnival,1,0.0
fabric,handle,3,3.3333333333333335
flowers,lily,6,8.333333333333334
weather,winter,6,8.333333333333334
bathroom,sleep,3,3.3333333333333335
hockey,played,6,8.333333333333334
fishing,harbour,6,8.333333333333334
clothes,socks,6,8.333333333333334
bar,restaurant,6,8.333333333333334
dragonfly,reptiles,4,5.0
dirty,hand,3,3.3333333333333335
breakfast,hotel,4,5.0
glass,vinyl,1,0.0
motorcycle,scooter,6,8.333333333333334
bar,ship,2,1.6666666666666667
garbage,jean,1,0.0
carrots,salad,6,8.333333333333334
ceiling,window,5,6.666666666666667
beef,salad,5,6.666666666666667
kittens,paws,4,5.0
stop,time,4,5.0
bright,orange,1,0.0
collage,painted,5,6.666666666666667
blossom,cherry,5,6.666666666666667
harbour,sea,6,8.333333333333334
carrots,tomato,6,8.333333333333334
explosion,table,1,0.0
frost,sunny,3,3.3333333333333335
evening,night,6,8.333333333333334
frost,grass,1,0.0
steel,wing,3,3.3333333333333335
cooking,salad,5,6.666666666666667
waterfall,wood,5,6.666666666666667
chicken,star,1,0.0
feel,stairs,1,0.0
heart,wing,3,3.3333333333333335
ivy,tree,5,6.666666666666667
pizza,restaurant,6,8.333333333333334
baseball,show,4,5.0
bedroom,cottage,3,3.3333333333333335
gull,mallard,1,0.0
insects,plant,5,6.666666666666667
mist,morning,2,1.6666666666666667
cute,happy,3,3.3333333333333335
couple,family,6,8.333333333333334
boardwalk,park,6,8.333333333333334
quote,santa,1,0.0
ruins,swimsuit,1,0.0
bed,staircase,2,1.6666666666666667
cigarette,smoke,6,8.333333333333334
pets,poster,3,3.3333333333333335
cold,silver,3,3.3333333333333335
parking,underground,5,6.666666666666667
scenery,sketch,3,3.3333333333333335
dawn,snow,1,0.0
blossom,fruit,6,8.333333333333334
parrot,reptiles,4,5.0
guitar,rock,6,8.333333333333334
cold,rain,6,8.333333333333334
black,violet,6,8.333333333333334
smile,tears,3,3.3333333333333335
beach,cliff,5,6.666666666666667
beer,wild,2,1.6666666666666667
morning,smile,2,1.6666666666666667
dog,sailing,1,0.0
apple,raspberry,6,8.333333333333334
holiday,travel,6,8.333333333333334
aquarium,tank,5,6.666666666666667
bed,stairs,4,5.0
bloom,violet,6,8.333333333333334
dance,hotel,3,3.3333333333333335
fruit,sweet,6,8.333333333333334
kitchen,wedding,3,3.3333333333333335
pink,skirt,3,3.3333333333333335
breakfast,kitchen,5,6.666666666666667
hummingbird,reptiles,4,5.0
building,demolition,5,6.666666666666667
dancers,rusty,1,0.0
frost,plant,1,0.0
cemetery,grave,7,10.0
bar,cafe,6,8.333333333333334
brown,pink,6,8.333333333333334
graveyard,ruins,5,6.666666666666667
frog,whale,4,5.0
bus,rail,4,5.0
hummingbird,mallard,1,0.0
furniture,room,3,3.3333333333333335
cute,sexy,6,8.333333333333334
hot,water,4,5.0
bloom,blossom,6,8.333333333333334
plant,twigs,6,8.333333333333334
bike,chopper,5,6.666666666666667
harbour,shore,6,8.333333333333334
show,television,6,8.333333333333334
guy,wire,2,1.6666666666666667
scenery,skyline,6,8.333333333333334
makeup,reflection,1,0.0
hummingbird,tropical,6,8.333333333333334
bedroom,room,6,8.333333333333334
bloom,daffodils,6,8.333333333333334
black,pigeon,5,6.666666666666667
berry,purple,6,8.333333333333334
panorama,view,6,8.333333333333334
exhibition,museum,5,6.666666666666667
milk,outdoor,1,0.0
face,hanging,1,0.0
horizon,sky,6,8.333333333333334
flamingo,mammals,4,5.0
hair,redhead,6,8.333333333333334
lunch,restaurant,5,6.666666666666667
black,yellow,6,8.333333333333334
cone,diamond,4,5.0
insects,lizard,4,5.0
downtown,locked,1,0.0
monster,rock,1,0.0
fruit,tomato,5,6.666666666666667
bracelet,necklace,6,8.333333333333334
mirror,raspberry,1,0.0
sunglasses,weed,1,0.0
car,parking,6,8.333333333333334
children,ford,1,0.0
portrait,rocket,1,0.0
burger,sandwich,5,6.666666666666667
drug,sing,1,0.0
ceiling,interior,4,5.0
castle,ruins,5,6.666666666666667
bath,room,2,1.6666666666666667
abstract,candles,1,0.0
bedroom,relaxed,4,5.0
apple,fruit,6,8.333333333333334
cottage,scenery,4,5.0
night,stop,3,3.3333333333333335
beauty,scenery,3,3.3333333333333335
grey,rusty,1,0.0
stripes,white,3,3.3333333333333335
pumpkin,road,2,1.6666666666666667
pink,red,6,8.333333333333334
lips,tongue,6,8.333333333333334
interior,tall,1,0.0
floor,stairs,3,3.3333333333333335
burn,reading,2,1.6666666666666667
fish,theatre,1,0.0
birds,hummingbird,5,6.666666666666667
shirt,show,1,0.0
friends,sexy,2,1.6666666666666667
outdoor,swimming,4,5.0
fun,idea,2,1.6666666666666667
animals,sandwich,1,0.0
plane,sailing,4,5.0
boxer,reflection,1,0.0
pepper,strawberry,4,5.0
hair,wig,6,8.333333333333334
collage,stream,1,0.0
park,skate,4,5.0
blue,orange,6,8.333333333333334
keyboard,soldiers,2,1.6666666666666667
chipmunk,squirrel,7,10.0
travel,wood,1,0.0
abandoned,crane,2,1.6666666666666667
graveyard,pug,1,0.0
rain,wet,6,8.333333333333334
band,bride,2,1.6666666666666667
dripping,rusty,4,5.0
colour,purple,6,8.333333333333334
eagle,hawk,6,8.333333333333334
smile,time,1,0.0
clothes,skirt,5,6.666666666666667
fog,mist,7,10.0
clothes,haircut,4,5.0
bacon,salad,5,6.666666666666667
apartment,pool,3,3.3333333333333335
furniture,pizza,1,0.0
construction,violet,1,0.0
frost,sunshine,2,1.6666666666666667
bright,sun,6,8.333333333333334
dog,pug,3,3.3333333333333335
lunch,relaxed,3,3.3333333333333335
garden,patio,6,8.333333333333334
canyon,pizza,1,0.0
fungi,moss,5,6.666666666666667
nails,wolf,3,3.3333333333333335
mountain,scenery,6,8.333333333333334
lizard,reptiles,6,8.333333333333334
bracelet,mountain,1,0.0
